status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic,
26781952138_10155957056792139,,b'Hiring at engineering colleges: 8 trends spotted',link,https://www.gadgetsnow.com/slideshows/hiring-at-engineering-colleges-8-trends-spotted/photolist/61283200.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 4:18,50,0,0,41,9,0,0,0,0,0,0.5,,
26781952138_10155957055317139,"b""'Padmavati': Mystery royal woman in Deepika Padukone's song 'Ghoomar' revealed!""","b""'Padmavati': Mystery royal woman in Deepika Padukone's song 'Ghoomar' revealed! - 'Padmavati': Incidents that made headlines about the Deepika Padukone-Ranveer Singh-Shahid Kapoor film | The Times of India""",link,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/padmavati-mystery-royal-woman-in-deepika-padukones-song-ghoomar-revealed/photostory/61295296.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI,10/28/17 4:16,1305,20,8,1262,32,9,2,0,1,0,0.375,entertainment,hindi
26781952138_10155957045832139,,"b""'Ujjain temple devotees can now offer no more than 1/2L of RO water'""",link,https://timesofindia.indiatimes.com/city/delhi/ujjain-temple-devotees-can-now-offer-no-more-than-1/2l-of-ro-water/articleshow/61282413.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 4:09,964,24,17,891,30,5,28,0,12,0,0.306666667,city,delhi
26781952138_10155957038547139,,"b""Techie held for uploading wife's profile on dating site""",link,https://timesofindia.indiatimes.com/city/bengaluru/techie-held-for-uploading-wifes-profile-on-dating-site/articleshow/61282360.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 4:04,46,4,3,35,6,0,5,0,0,0,0.5,city,bengaluru
26781952138_10155956986397139,,"b""US Senators for listing Pak as 'country of particular concern' over religious intolerance""",link,https://timesofindia.indiatimes.com/world/us/us-senators-for-listing-pak-as-country-of-particular-concern-over-religious-intolerance/articleshow/61291808.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 3:50,53,3,4,43,5,1,4,0,0,0,0.45,world,us
26781952138_10155956958567139,,"b'Hyderabad techies most gullible to matrimony, OTP fraud'",link,https://timesofindia.indiatimes.com/city/hyderabad/hyderabad-techies-most-gullible-to-matrimony-otp-fraud/articleshow/61283922.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 3:40,91,10,0,77,6,1,6,1,0,0,0.392857143,city,hyderabad
26781952138_10155956992287139,,"b""FAT BUSTER: Here's how this famous food critic lost 50 kilos""",link,https://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/fat-buster-heres-how-this-famous-food-critic-lost-50-kilos/articleshow/61035225.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 3:32,121,1,4,116,4,0,1,0,0,0,0.5,life-style,health-fitness
26781952138_10155955217407139,b'Curd and Yogurt are not the same.',b'What Is The Difference Between Curd And Yogurt?',link,http://recipes.timesofindia.com/articles/features/whats-the-difference-between-yogurt-and-curd/yogurt-and-curd-are-not-the-same/photostory/59955577.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,10/28/17 3:30,318,4,16,312,3,3,0,0,0,0,0.25,,
26781952138_10155956983877139,,b'Kamal Haasan visit to Ennore highlights corporate encroachment of river',link,https://timesofindia.indiatimes.com/city/chennai/kamal-haasan-visit-to-ennore-highlights-corporate-encroachment-of-river/articleshow/61291080.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 3:25,204,4,1,190,8,1,4,1,0,0,0.392857143,city,chennai
26781952138_10155956981177139,,b'OnePlus 5T may launch on November 16: Likely price and specifications',link,https://www.gadgetsnow.com/slideshows/oneplus-5t-may-launch-on-november-16-likely-price-and-specifications/photolist/61290781.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 3:23,240,9,2,235,6,0,0,0,0,0,0.5,,
